iso3_country,country_name,Agriculture,Buildings,Fluorinated Gases,Fossil Fuel Operations,Manufacturing,Mineral Extraction,Power,Transportation,Waste,emissions_2025,change_2015_2025,percent_change_2015_2025,cluster,PC1,PC2
DOM,DOM,0.1951038370372661,0.04376705867618915,0.04628665790569855,0.01055827343719348,0.10709091956261453,0.011220479447161903,0.28295213079638676,0.2080931526465994,0.09492749049089019,52230744.93026552,13572649.804832635,35.10946351803892,2,-0.4966145742151151,-0.49181387838988155
DZA,DZA,0.040800243661752264,0.10690496577012498,0.01134064308431066,0.4072874820334909,0.09004961592611858,0.007464938182572766,0.13773553178071868,0.13805039367092853,0.060366185889982535,327124075.2804716,25452052.227405906,8.436994577693655,3,1.464534513214904,-1.0575675797389599
ECU,ECU,0.16176057102628053,0.10783394764823753,0.012626146455253897,0.2625607430364732,0.0866541191178242,0.0021762332061549356,0.0833665976470992,0.2246302198523971,0.058391422010279456,88274087.28838374,-5121433.072814733,-5.483596057935185,0,1.1512841765081432,0.4089003168849275
EGY,EGY,0.03935004103996747,0.050567970601164886,0.054565320532667196,0.12480547967744257,0.20823717422505011,2.399503180498367e-06,0.28938833953739157,0.18200582989796374,0.051077444985171916,385496467.5678741,9724766.614540458,2.587945443967362,3,1.772461407399453,-0.12676718825581312
ERI,ERI,0.5697628963789785,0.03005997965691976,0.0,0.0,0.017829073308375413,0.09229014809126439,0.03499743659696601,0.21257674309885802,0.04248372286863794,10429076.341368493,-129883.74671538174,-1.2300808567498964,4,-1.736794979413947,-0.7208258541406597
ESH,ESH,3.84308697905919e-06,0.037355456366318436,0.0,0.0,0.0014102265060405002,0.0,0.04315250768698897,0.7677119895340245,0.15036597681964853,1227513.201159672,199671.57912332783,19.426298258650156,1,-3.580381180786845,2.0883669721399936
ESP,ESP,0.1279611121342838,0.09331517941568945,0.013397523908736348,0.05902741384041912,0.1579239893488271,0.0015091764564664424,0.1055504767159008,0.37828880412618254,0.06302632405349431,330696959.1526993,-36682806.55179113,-9.984982836887566,0,1.0420113749414561,1.2216147351662099
EST,EST,0.36064652718517054,0.03985144704728335,0.009988081357005088,0.2139219773758339,0.026950797445911157,0.0017623183337488644,0.1301295985403778,0.19728380543136514,0.019465447283304203,20182675.301159665,-9987943.10129232,-33.10486702016222,0,0.67883349404371,0.4438573134289429
ETH,ETH,0.7276239885973781,0.08786664134110729,3.176325576798681e-06,0.001160512953954512,0.03644108949357326,0.00019078871117672423,9.052150811870017e-06,0.10493369957490731,0.041771050851514106,263815399.1898264,65653917.97537452,33.131523630630994,2,-0.9509499931150448,-2.6780346748960615
FIN,FIN,0.26035348128948016,0.059074316525408774,0.011000951767881156,0.04880520668763571,0.2196936715336878,0.00106208252346702,0.09680461184854605,0.2838825225512554,0.019323155272638046,74452429.82507439,-14573463.27575697,-16.369915277627108,0,1.315794511203238,0.920268533909041
FJI,FJI,0.058916358826277056,0.07932354645469979,0.06803692782061573,5.9120142572581904e-09,0.06001787506994499,0.0030714156377015765,0.08952277579800941,0.5183931369428789,0.1227179575378584,3976692.625721667,-4835303.17712683,-54.87182796391945,0,-0.6872044608477283,3.1029215372709396
FLK,FLK,0.9445502291487858,0.00028090109750104376,0.0,0.0,0.00012248914925248134,0.0,0.0013946469809927567,0.053502995247773265,0.0001487383756946928,6963361.528737822,45943.46450834628,0.6641707076506425,2,-1.5406655562829932,-2.3153179765986684
FRA,FRA,0.15494825646176894,0.1504686565566839,0.01788388860956003,0.04577491642087963,0.1599971292031443,0.0017296594159196277,0.052037449919380294,0.3635109560648586,0.0536490873478047,439095771.359798,-71290038.59465057,-13.96787238285742,0,1.2587403676788809,1.2233626274381637
FRO,FRO,0.18882200840333813,0.0,0.0,0.0,0.0004342528065606853,0.0,0.13543509758771777,0.6586169148905063,0.016691726311876997,1623242.452774199,393672.105509514,32.01704614829733,1,-2.635867469550165,1.0360423376286747
GAB,GAB,0.032232694005428594,0.02405256800756063,0.05295156775194001,0.6886447520019079,0.03660706469833656,0.0,0.053448408704207834,0.09568730313966403,0.01637564169095442,26901531.20744589,-3924502.1252443343,-12.731129181912936,3,2.5465836497004606,-0.4349468945398433
GBR,GBR,0.1663823525195025,0.18889018972879643,0.02518177136745422,0.069275904525428,0.09625515613345777,6.204580368212445e-05,0.1246664161892916,0.2973607533612322,0.031925410371155226,451166691.01038885,-127498198.23486102,-22.033166449956276,0,1.5821232059124317,1.2531422427799002
