iso3_country,country_name,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,change_2015_2025,percent_change_2015_2025,archetype
ATA,ATA,74525.87735029866,95109.9373283977,123026.93688257094,135245.43040826212,159011.84972017628,122993.84808240272,122495.49801943706,287354.7794538125,466430.1514179834,548183.3799631041,615648.3053032754,541122.4279529767,726.086625467695,"Lower-emitting, fast-growing"
ATF,ATF,798.9444868704187,811.9762953511188,824.4379274889782,842.4485982043594,845.1810606966541,763.9939412966044,962.9691867840199,690.812260693838,624.4718502640924,629.6602774296989,703.8446364363974,-95.09985043402128,-11.903186265987161,"Lower-emitting, declining"
ATG,ATG,899555.5782360183,948480.7439945182,1050707.2446318169,1031555.882367189,1084587.3487338957,850609.9332449724,885626.1563601957,1045195.373945474,1032668.5242468942,1083723.1574722999,1043826.7588595997,144271.1806235814,16.038050801317876,"Lower-emitting, stable/moderate growth"
AUS,AUS,753852739.2887143,774549701.1492918,797611023.7558202,809147146.7496042,820290854.1847614,790004427.6187133,790616219.897708,791163907.4095097,803994818.9036922,800550618.5228341,789368731.4671799,35515992.178465605,4.7112639282807605,"High-emitting, stable/moderate growth"
AUT,AUT,86241032.60563555,85835805.59911355,89548565.47366074,84234500.93184407,86646218.55667059,78960023.2889976,83584615.2312213,80961084.84802824,77419650.32882065,78352601.73010951,80530835.21993318,-5710197.385702372,-6.621207113572096,"Lower-emitting, stable/moderate growth"
AZE,AZE,76325186.63563357,75604482.93157303,76465020.71631208,79394861.74527301,83856340.196444,81634874.06063499,88206898.8709809,89924350.56944908,90884481.78803034,91246568.859923,91958686.53398205,15633499.89834848,20.48275358038855,"Lower-emitting, stable/moderate growth"
BDI,BDI,9644874.023095673,10066317.1144611,10944269.344863173,11534360.40835524,11909625.864179501,11504330.545692585,12266976.365659425,12502965.51177484,12548623.53911339,12715386.490117054,12794025.009466635,3149150.986370962,32.65103285776451,"Lower-emitting, fast-growing"
BEL,BEL,140318178.27060428,139958680.57410926,139548287.02310583,140751415.72104967,140697400.1327631,131198215.92550603,137095677.56860343,131684065.72577962,123964273.20496008,126965680.61210212,128238101.51395051,-12080076.75665377,-8.609060426481083,"Lower-emitting, stable/moderate growth"
BEN,BEN,15569903.885484345,17103619.436889857,17492897.878350697,19686838.721834663,19532050.187093314,19737603.156144768,18051484.375712022,18615286.6545161,19254429.770716947,18955391.102210462,19269527.976804778,3699624.0913204327,23.761380407553784,"Lower-emitting, stable/moderate growth"
BES,BES,1755879.555764705,1795563.813834415,1803632.9816592303,1171350.305479106,1177730.458966956,1051740.8613839922,1092043.8141212529,1208575.7706661262,1136473.2778428507,1154927.4249818528,1099666.2922171932,-656213.2635475118,-37.37233920134822,"Lower-emitting, declining"
BFA,BFA,36286042.29315829,37229576.58221434,38469949.43749705,40464431.48793023,41570922.046473034,35986884.627423376,40049180.886228636,41101516.344722666,41962176.00589459,41358479.33186673,41720129.23699029,5434086.943831995,14.975694786247296,"Lower-emitting, stable/moderate growth"
BGD,BGD,286458380.70930016,293340394.2252547,295369270.15934855,305932480.7827982,307423977.04550165,302289625.84337676,316387100.6183435,316817688.63344955,316416833.33154786,325959080.55661654,329452748.5470354,42994367.837735236,15.008940472007415,"Lower-emitting, stable/moderate growth"
BGR,BGR,65085785.04827086,62210859.72148717,65123765.49131067,63091619.49897288,61704515.697128266,56243325.37521773,62023563.26177779,65106792.38253015,54685277.28716135,51173952.19044794,51550375.762182586,-13535409.286088273,-20.796260314060497,"Lower-emitting, declining"
BHR,BHR,63870685.949653134,65026958.86893017,65494060.26642028,66022650.024115935,69957631.4369658,69374835.9912259,72515143.5484714,74769594.1857533,74717146.8137985,74731874.1694534,75956371.1732279,12085685.223574772,18.922115903219616,"Lower-emitting, stable/moderate growth"
BHS,BHS,4750771.396352633,5082771.254429299,5356076.100852676,5883427.549966917,6473666.428395053,5931586.79917215,6201446.503660871,6896193.922300068,7013364.931389616,7618037.6497620605,7644733.845611288,2893962.4492586553,60.91563259559221,"Lower-emitting, fast-growing"
BIH,BIH,30725457.18216398,34216117.78669906,34837410.48133056,35029007.74414118,33398880.028186776,34010064.45855314,34066613.10163929,34646258.371792465,34284591.729266725,34054218.36611222,32652740.345567614,1927283.163403634,6.272593934004715,"Lower-emitting, stable/moderate growth"
BLM,BLM,94118.74203598654,113861.07092670564,111674.8081799603,94983.06692961589,125980.04597653994,129795.97678187725,120183.15697627015,145119.2011726119,160014.24364777352,132026.64230976027,139079.0898932672,44960.34785728066,47.76981383802384,"Lower-emitting, fast-growing"
BLR,BLR,137995203.5289274,136824988.89222553,138037854.867029,141377497.8271904,138906097.67432132,135217822.0527196,135368627.33755884,132579846.42887732,130577529.70270659,131095726.16868164,130243893.50311863,-7751310.025808752,-5.6170865563337316,"Lower-emitting, stable/moderate growth"
BLZ,BLZ,1677452.8356415788,1737332.1123039173,1819613.0190689329,1762811.9646810936,1887363.9956539222,1756565.3984855395,1785072.5055410108,1854996.8888700795,2191645.1770864083,2272941.1458877623,2320478.096147049,643025.2605054704,38.33343309825646,"Lower-emitting, fast-growing"
BMU,BMU,1052887.6338346044,1097851.658710951,1187427.7175764176,1144394.6822883412,1197436.5520432768,811820.1730514284,856728.4913169993,1075543.339242041,1084704.1270955524,1132752.0405095078,1088596.158113879,35708.52427927451,3.391484820580947,"Lower-emitting, stable/moderate growth"
BOL,BOL,70003808.61183295,72140849.26774934,73496708.73881006,74258223.54534915,73873667.11781004,68627386.69971675,80070145.99273212,80876479.44283068,81544844.81290177,82401185.04665065,82161150.6164844,12157342.004651457,17.36668653567581,"Lower-emitting, stable/moderate growth"
BRA,BRA,1292530712.2603526,1255535408.3228595,1273849731.1174026,1260487314.0608263,1273440974.9771154,1269759876.5448492,1354940589.5371137,1341639822.7958713,1350652665.6295595,1354907812.8045518,1367986488.607181,75455776.34682846,5.837832372653867,"High-emitting, stable/moderate growth"
BRB,BRB,2225588.6196925333,2317504.413794653,2335295.069015522,2437205.8395304773,2523048.7897429257,2453772.8140474046,2222913.4881658396,2439663.630837996,2448855.006933631,2504379.608579057,2477824.181659105,252235.5619665715,11.333431512667334,"Lower-emitting, stable/moderate growth"
BRN,BRN,14766448.495312305,14615924.706068447,14734846.162045412,14995678.61209607,15806903.635394532,17503247.25039013,17218455.58688924,15727006.246198326,15830774.802689841,16315280.639482835,16341595.154061973,1575146.658749668,10.667064997041823,"Lower-emitting, stable/moderate growth"
BTN,BTN,3456044.918390694,3721598.3112239237,3763058.0570322485,4028017.327283867,4413821.158781631,4052112.095778814,3887885.919917975,3754215.8886289042,3651070.4984784718,3789608.1933678915,3852158.477896332,396113.55950563774,11.46147023141377,"Lower-emitting, stable/moderate growth"
