iso3_country,country_name,cluster,PC1,PC2,emissions_2025,change_2015_2025,percent_change_2015_2025
TTO,TTO,0,3.3371547910819137,0.6456912185142974,43293476.38163929,-16748581.35152132,-27.894749087307268
TUN,TUN,0,0.0665368332159577,0.5491088302472116,55643719.1144272,1450719.7935718298,2.676950550351883
TUR,TUR,3,0.5875136445972498,-0.3040974509864039,631248606.4122332,119630798.42642558,23.38284488129939
TWN,TWN,0,2.6156271483052405,1.2678441652630492,303751213.1997698,-19670275.930421352,-6.0819322746062845
TZA,TZA,2,-1.4458297502105009,-2.595047657033959,154332171.75984132,54490752.05618328,54.577300901688616
UGA,UGA,2,-1.2646173135035796,-1.864802172861296,70674435.19008276,12672956.875835724,21.8493687474218
UKR,UKR,0,1.9133062542218269,0.7324569582953165,271188887.1731654,-123106040.8124094,-31.22181698896041
URY,URY,2,-0.7385033864215439,-1.8417682041172607,40003358.312283576,2809918.3645132408,7.554876258983109
USA,USA,0,2.457317194943644,0.2148267692115978,6958966262.668473,-3751855.078816414,-0.053884919874227
UZB,UZB,3,0.7022802149750391,-0.8005677252035451,248700565.1151356,50474133.91496459,25.462867695981124
VEN,VEN,0,3.091636622196254,0.0528790907665965,269416605.94775367,-331313617.54840624,-55.15181434025587
VIR,VIR,1,-3.1823629085664638,2.1899617200691397,1307128.327739959,187068.5799449666,16.701660809902286
VNM,VNM,3,1.274873471780198,-1.3545237268387489,535848085.8269631,183783230.5097304,52.201527001077686
XKX,XKX,1,0.0984814799186585,1.4116597858640254,10380441.200091382,121767.6310473848,1.186972469957754
YEM,YEM,2,0.3444447001013032,-0.6184775600781198,47908130.49224909,4199027.078983761,9.60675637585692
ZAF,ZAF,0,2.020141241921074,0.5284485122403484,612058864.3129096,-15544981.2161479,-2.4768779424931333
ZMB,ZMB,2,-1.1029107357522996,-1.8000207911328596,54419551.22869298,12380620.103273898,29.45036843667009
ZWE,ZWE,2,-0.0478421655738833,-0.3445477126529783,44047309.658610456,2895631.4750903994,7.036484544268252
