iso3_country,country_name,year,sector,sector_clean,emissions
AIA,AIA,2016,fluorinated-gases,Fluorinated Gases,0.0
AIA,AIA,2016,fossil-fuel-operations,Fossil Fuel Operations,0.0
AIA,AIA,2016,manufacturing,Manufacturing,0.7311120000288489
AIA,AIA,2016,mineral-extraction,Mineral Extraction,0.0
AIA,AIA,2016,power,Power,96404.21348136674
AIA,AIA,2016,transportation,Transportation,56342.549732324
AIA,AIA,2016,waste,Waste,3840.638631364805
AIA,AIA,2017,agriculture,Agriculture,0.0
AIA,AIA,2017,buildings,Buildings,1065.9978259076963
AIA,AIA,2017,fluorinated-gases,Fluorinated Gases,0.0
AIA,AIA,2017,fossil-fuel-operations,Fossil Fuel Operations,0.0
AIA,AIA,2017,manufacturing,Manufacturing,0.7383000000291323
AIA,AIA,2017,mineral-extraction,Mineral Extraction,0.0
AIA,AIA,2017,power,Power,96141.33647714824
AIA,AIA,2017,transportation,Transportation,56597.382063021214
AIA,AIA,2017,waste,Waste,3850.094377203756
AIA,AIA,2018,agriculture,Agriculture,0.0
AIA,AIA,2018,buildings,Buildings,908.127978401185
AIA,AIA,2018,fluorinated-gases,Fluorinated Gases,0.0
AIA,AIA,2018,fossil-fuel-operations,Fossil Fuel Operations,0.0
AIA,AIA,2018,manufacturing,Manufacturing,0.7455600000294189
AIA,AIA,2018,mineral-extraction,Mineral Extraction,0.0
AIA,AIA,2018,power,Power,96141.23991308996
AIA,AIA,2018,transportation,Transportation,48143.508501550095
AIA,AIA,2018,waste,Waste,3881.5896107952767
AIA,AIA,2019,agriculture,Agriculture,0.0
AIA,AIA,2019,buildings,Buildings,908.3697902191686
AIA,AIA,2019,fluorinated-gases,Fluorinated Gases,0.0
AIA,AIA,2019,fossil-fuel-operations,Fossil Fuel Operations,0.0
AIA,AIA,2019,manufacturing,Manufacturing,0.7532060000297207
AIA,AIA,2019,mineral-extraction,Mineral Extraction,0.0
AIA,AIA,2019,power,Power,96141.22966040485
AIA,AIA,2019,transportation,Transportation,54605.40490595142
AIA,AIA,2019,waste,Waste,3905.365370299335
AIA,AIA,2020,agriculture,Agriculture,0.0
AIA,AIA,2020,buildings,Buildings,904.950099974773
AIA,AIA,2020,fluorinated-gases,Fluorinated Gases,0.0
AIA,AIA,2020,fossil-fuel-operations,Fossil Fuel Operations,0.0
AIA,AIA,2020,manufacturing,Manufacturing,0.7607250000300173
AIA,AIA,2020,mineral-extraction,Mineral Extraction,0.0
AIA,AIA,2020,power,Power,96403.70208499103
AIA,AIA,2020,transportation,Transportation,43621.17581096121
AIA,AIA,2020,waste,Waste,3919.264717352763
AIA,AIA,2021,agriculture,Agriculture,0.0
