iso3_country,emissions_2015,emissions_2025,change_2015_2025,percent_change_2015_2025
BOL,70003808.61183295,82161150.6164844,12157342.004651457,17.36668653567581
BRA,1292530712.2603526,1367986488.607181,75455776.34682846,5.837832372653867
BRB,2225588.6196925333,2477824.181659105,252235.5619665715,11.333431512667334
BRN,14766448.495312305,16341595.154061973,1575146.658749668,10.667064997041823
BTN,3456044.918390694,3852158.477896332,396113.55950563774,11.46147023141377
BVT,0.0,0.0,0.0,
BWA,19537347.939776976,17342519.82002208,-2194828.1197548956,-11.23401255134708
CAF,13115483.810161466,15350342.465201968,2234858.6550405025,17.03984913853505
CAN,883321376.26099,934156698.9840609,50835322.72307086,5.755020096791005
CCK,4864.358790126439,5081.664937817368,217.3061476909288,4.467313310276612
CHE,48794770.355700806,44533106.522528484,-4261663.833172321,-8.733853652975379
CHL,122591514.89091304,124503647.43439344,1912132.5434803963,1.5597592909932554
CHN,13999522685.976353,17518235252.209835,3518712566.2334824,25.13451812009461
CIV,33196496.383378804,43931332.934595264,10734836.55121646,32.33725760466487
CMR,55001351.01332835,60422668.8423386,5421317.829010248,9.856699388523225
COD,47953341.64609596,67859028.27829756,19905686.632201597,41.510530755310114
COG,28609287.09958465,35188327.928956024,6579040.829371374,22.996171860105136
COK,155775.66309242492,198200.49511611785,42424.83202369293,27.234570010157107
COL,233574383.6481122,255137547.74988338,21563164.101771176,9.231818902819763
COM,636213.8595251924,881815.2232446062,245601.36371941376,38.60358589212541
CPV,1188115.3473729794,1863486.7509498096,675371.4035768302,56.843925555724184
CRI,18574753.472182456,21050590.26623819,2475836.794055734,13.32904255102791
CUB,60921784.53965113,45983589.845006734,-14938194.694644399,-24.520284176708298
CUW,4143175.9734048992,2818494.379505273,-1324681.5938996263,-31.972612372797453
CXR,9527.829148964298,27778.9097133057,18251.080564341402,191.55549788931035
CYM,1037214.7010330373,1086844.0762135729,49629.3751805356,4.784870011108222
CYP,8447043.805938156,11600326.677495142,3153282.871556986,37.33001679641191
CZE,134635011.87654257,99796129.06745015,-34838882.80909242,-25.876540079365785
DEU,1026577045.5439457,756559138.9733564,-270017906.5705893,-26.302741498327258
DJI,3126250.939894883,3442403.099133187,316152.159238304,10.112820925659099
DMA,323101.5399600231,379598.74044994294,56497.200489919866,17.48589638319588
DNK,61749652.24865803,56728505.14591755,-5021147.1027404815,-8.131458105255327
DOM,38658095.12543288,52230744.930265516,13572649.804832637,35.10946351803892
DZA,301672023.05306566,327124075.28047156,25452052.227405906,8.436994577693655
ECU,93395520.36119847,88274087.28838374,-5121433.072814733,-5.483596057935185
EGY,375771700.9533336,385496467.5678741,9724766.614540458,2.587945443967362
ERI,10558960.088083874,10429076.341368493,-129883.74671538174,-1.2300808567498964
ESH,1027841.6220363443,1227513.201159672,199671.57912332786,19.426298258650153
ESP,367379765.7044905,330696959.15269935,-36682806.55179113,-9.984982836887566
EST,30170618.402451985,20182675.301159665,-9987943.10129232,-33.10486702016222
ETH,198161481.21445188,263815399.1898264,65653917.97537452,33.131523630630994
FIN,89025893.10083136,74452429.82507439,-14573463.27575697,-16.369915277627108
FJI,8811995.802848497,3976692.625721667,-4835303.17712683,-54.87182796391945
FLK,6917418.064229475,6963361.528737822,45943.46450834628,0.6641707076506425
FRA,510385809.9544486,439095771.359798,-71290038.59465057,-13.967872382857419
FRO,1229570.347264685,1623242.452774199,393672.105509514,32.01704614829733
FSM,418755.42341785185,425482.801992701,6727.378574849165,1.6065173604059335
GAB,30826033.332690224,26901531.20744589,-3924502.1252443343,-12.731129181912937
GBR,578664889.2452499,451166691.01038885,-127498198.23486102,-22.033166449956273
GEO,18549269.447826967,23110883.919047967,4561614.471221,24.591882090296497
